X,Y,Z
44942.2,43452,75.8092
45265.3,43095.5,266.212
44779.9,43597.1,169.952
45169.3,43206.4,149.4
45060.8,43315.1,147.958
45024,43349.5,189.982
45149,43214.5,280.7
45067.9,43306.7,169.964
45036,43336.6,172.169
44921.2,43450.5,220.062
45149.1,43215.8,266.856
45290.9,43079,203.391
44932.5,43433.1,247.065
44878,43503.3,140.191
45193.6,43181.2,200.376
45380.2,42985,262.169
44914.6,43479,138.82
44915.1,43473.8,98.5535
44897.9,43468.1,263.028
45016.2,43350.5,252.922
45151.9,43233.6,178.237
45209.2,43183.3,68.0398
45405.7,42973.9,200.031
44906.8,43471.4,170.64
44938.1,43436.1,218.458
45040.9,43332,237.745
45192.9,43185.4,228.401
44845,43524.8,267.684
44823.7,43565,112.097
44804.3,43574.5,190.366
44993.6,43389,196.772
44831.9,43551,186.263
44967,43431.3,79.7412
44904.4,43494.1,77.2801
44915.3,43477.8,164.471
45232.4,43149.9,175.871
45134.9,43262.5,95.2559
45156.2,43238.9,89.6464
44823.5,43564.5,169.804
45042.5,43340.2,204.583
45177,43223,69.16
45256.6,43115.6,284.802
45014.7,43378,133.93
44845.2,43561.3,45.721
44898.8,43516.8,59.537
45203.2,43200.6,60.8017
45254.7,43125.2,247.986
45165,43233.9,140.379
44966.2,43441.9,68.3383
44814.2,43557,56.4048
45419.4,42924.2,266.634
45065.1,43303.6,80.6885
45120.9,43233.5,243.195
44878.4,43481.5,180.13
44918.6,43455.9,59.477
45259.3,43098.6,203.379
44952.7,43393.2,278.107
44791,43582.2,128.003
45020.6,43342.1,160.037
45056.2,43315.1,80.709
45395.9,42966.5,218.795
44833.8,43515.5,245.294
44984.8,43366.3,271.985
45020.1,43350.8,99.8422
45170.4,43212.1,84.1915
45238,43109.9,282.072
44908.8,43460.8,164.384
45422.4,42949.1,99.6632
45450.3,42913,159.308
45030.9,43347.6,99.6454
45250.7,43098.6,284.819
45382.6,42991.4,84.1532
44930.2,43449.1,89.21
44962.2,43420.2,75.132
45414.8,42942.6,252.783
44852.3,43512.8,157.04
44959.8,43420.7,116.805
44831.5,43529.9,216.005
45036.3,43335.1,128.27
44879.1,43492.5,169.485
44827.2,43549.7,100.912
44803.6,43554.9,263.595
44861.3,43533.7,53.3174
44837.8,43541.8,76.5339
44846.8,43510.8,253.377
44996,43364.6,264.051
45230.2,43138.3,172.078
45091.1,43269.6,285.38
44949.6,43425.9,171.617
45248.7,43133.1,95.4375
44933.2,43436.8,176.393
45258.6,43122.3,101.603
45385.9,42976.6,272.612
45229.3,43159.6,45.4574
45092.3,43278.6,160.226
45140.5,43225.1,233.63
44769.9,43601.6,202.877
45011,43315,269.565
45241.4,43104.9,92.2457
44847.3,43499.3,97.0798
44864.6,43468.8,238.315
45251,43101.9,70.6846
44752,43584.6,172.998
44870,43482.4,56.0257
44888.3,43463.5,96.7871
45174.4,43163.7,174.857
45201.4,43149.3,80.1939
44917.7,43419.7,206.597
45024.8,43333,41.9172
45126.1,43224.9,88.6826
44807.3,43546.5,66.3235
44934.3,43398.6,281.639
44983.3,43375.6,45.2612
44841.1,43506.2,172.177
45172.2,43186.6,56.0051
44746.5,43595.3,194.472
44797.3,43545.9,171.537
44861.4,43476.9,229.013
44990.5,43344.7,264.994
45419.8,42924.5,170.545
45413.5,42926.9,248.476
44778.9,43577.4,118.623
44944.3,43418.5,122.366
44910.8,43441.7,201.785
44727.8,43622.5,129.142
44899.1,43457.5,125.413
45460.1,42885.7,167.775
44839.4,43520.6,76.255
44814.3,43541.1,119.464
44742.8,43593.5,284.68
45259.8,43083.8,217.699
45414,42931.2,207.265
44858.4,43497.3,132.703
44903.5,43453.4,167.16
44981.4,43369.1,212.73
44950,43403.4,203.044
45422.5,42921.1,240.828
45262.1,43109,50.0448
45271.3,43083.3,201.072
45124.7,43220.2,226.09
44895.2,43468.5,92.6914
45149.7,43212.1,125.91
44931.1,43413.3,277.607
44770.2,43570.1,266.827
45143,43224.8,53.0396
45031.9,43327,140.553
44754,43604.6,122.212
44994.6,43366.5,129.215
45197.1,43133.7,150.369
45035.4,43295.6,84.7088
44808.6,43512.6,185.535
45197.3,43142.2,58.2749
45253.3,43095.4,36.3985
45313.5,43021.1,60.1532
44877.1,43455.3,97.0279
45125.1,43199.1,164.448
44760.5,43577.3,68.2409
45019.9,43306.9,166.492
44961.6,43364.2,180.172
44986.1,43348.3,135.285
44917.6,43398.8,238.491
45102.3,43224.9,183.337
45068.8,43255.1,199.955
44705.3,43625.1,136.286
44867.5,43467.5,105.346
44721.8,43621.3,56.0717
45138.8,43191.3,141.845
44941,43377,267.362
44720.2,43612.8,144.243
45165.4,43169.8,105.549
45144.5,43170.2,275.74
45006.6,43331.8,157.099
44978.9,43350.3,177.427
44788.4,43559,49.825
44885.5,43449.6,106.816
44752.6,43585.4,86.462
44963.7,43362.2,254.678
44944.9,43385.3,167.257
44718.5,43611,180.566
44864.1,43462.1,205.234
44906.7,43436.1,78.7342
44834.5,43500.2,150.371
45019.1,43325,131.857
44716.3,43631.6,58.2395
44733.7,43592,198.289
44783.3,43558.2,143.674
44775.2,43556.2,196.85
44993.2,43341.4,198.242
44971.4,43351.1,274.036
45183,43155.6,160.941
44782.5,43546.5,231.945
45164.7,43183.5,77.304
44909.3,43436.7,93.7333
44931.3,43425.1,57.3147
45398.2,42929.8,257.566
44745.6,43604,87.6449
44973.8,43324.6,226.803
44726.4,43588.1,96.4883
44806.8,43509.9,93.6434
44865.2,43430.6,250.596
45127.3,43194.8,52.1712
44770.1,43542.1,130.475
44772,43523.6,246.152
44729.7,43584.5,116.792
44802.3,43496.7,228.55
44902.1,43406.8,178.268
45253.9,43057.1,158.472
44826.4,43511.7,53.7919
44789.6,43504.3,269.621
44761.4,43553.6,126.653
44934.8,43366.6,232.128
45415.3,42890.3,234.965
44769.9,43542.9,205.5
44776.5,43555.6,71.6448
45265.1,43033.9,282.027
45151.6,43176.4,65.6743
44797.9,43526,67.3577
45073.6,43225,265.197
44890.9,43440.4,48.7081
45381.5,42913.9,282.972
44810.8,43502.4,164.416
44904.8,43410.6,153.019
45091.7,43218.3,186.073
44755.3,43563.8,123.281
44918.7,43399.6,161.015
44789.2,43539.1,71.4561
44935.1,43379.7,215.571
44882.9,43428.6,220.961
44756.8,43567.1,100.147
45081,43251.3,59.5042
45125.5,43183.1,227.419
45132.8,43180.3,203.226
44886.4,43419.4,265.001
44776.6,43555.1,108.931
45312.8,42988.6,284.556
44863.6,43467.7,43.9492
45076.8,43246.5,125.919
44880.5,43434.3,184.907
44766.9,43542.1,256.418
45299.1,43031.7,78.1262
45162.8,43170.6,53.5577
45112,43192.7,285.373
44849.9,43462.7,216.409
44973.6,43360.8,74.1119
45170.7,43163.4,52.3091
45382.2,42924.5,267.131
45190.4,43142.7,64.2104
44896.6,43421.5,182.14
45216.3,43118.6,68.4591
44952.6,43377.9,207.954
44988.3,43332.8,191.376
45378.9,42936.9,284.54
45203.4,43133.3,74.3095
44981,43307.8,173.868
45100.2,43191.3,141.679
44913.5,43362.3,262.446
44962.2,43333.3,142.854
44977.3,43314.1,150.174
44896.1,43404.1,91.4943
44902.7,43393.3,131.398
45061.6,43242.5,66.8663
44747.7,43560.8,84.614
45164.4,43110.3,279.214
44888.5,43409.3,116.327
45320.4,42982.1,104.509
45034.3,43255,176.707
45013.4,43288.2,109.602
45163.6,43131.6,169.098
45296.9,42979.8,285.311
45082.8,43200.7,238.905
45116.6,43166.4,237.199
45181.5,43129.3,43.5803
45068.4,43239.5,52.2238
44809.7,43488.4,163.322
44724.4,43585.1,65.7906
45009.2,43269.3,278.965
45177.3,43121.2,151.057
45176.9,43118.7,185.622
45124,43175.6,154.799
44756.8,43555.5,42.0519
45105.3,43176.6,275.916
44835.1,43471.5,113.578
45396.2,42893.4,270.737
45257.7,43029.9,284.789
44692.4,43621.9,44.0333
44778.8,43522.3,154.076
45137.7,43157,212.28
44917.3,43387.3,125.864
44934,43383.2,62.8128
45059.1,43252.9,79.5125
44812.4,43498.3,78.749
45226,43092.3,52.1961
44992,43317.1,117.127
44808,43492.4,177.8
45009.1,43315.8,44.5775
45157.7,43129.8,285.221
44838.9,43478,81.6524
45212.7,43106.6,44.4496
44777.9,43546.2,47.6871
45113.5,43201.4,81.6194
45108.6,43190.2,203.084
44677.3,43630.7,132.565
44760.9,43548.9,142.379
44982.6,43340.3,40.7039
44704.9,43601.3,165.122
45128.9,43173.2,209.737
45129.2,43144.5,179.973
44750.2,43536.6,113.713
45057.9,43215.9,173.87
44816.1,43468.5,85.4736
45047,43220.5,215.089
45118,43173.9,53.1901
44826.3,43445.7,192.07
44960.9,43308.3,211.324
45175.2,43095.6,227.164
45134.4,43162.2,54.5584
45260.9,43030,52.6604
44868.3,43403.7,210.849
44844.4,43442.5,88.1068
45029,43250.4,166.416
44974.4,43328.8,40.1386
45149.1,43134.1,138.009
44958.3,43322.3,165.302
45250.9,43036.1,96.7884
44866.4,43421.6,84.8468
44659.1,43608.8,257.762
45136.7,43148.2,136.783
44904.1,43379.9,176.435
44844.6,43449.7,71.4014
45191,43082.3,281.811
45175.2,43106.3,210.027
44956.7,43333.4,118.18
44840,43463.4,38.4011
44781.2,43501.3,194.711
45052.2,43228.3,204.873
44700.9,43584.7,203.339
44724.5,43543.9,284.886
44805.9,43492.8,50.6476
44705.5,43598.7,56.3876
44947.6,43348.5,116.881
45252.7,43050.7,42.4023
44724.6,43564.8,154.936
45239.9,43059.8,79.2016
45099.1,43176.4,260.839
44926.6,43365.1,132.672
44926,43350,281.032
44875.2,43414.7,188.863
45041.8,43255.3,109.742
44900.7,43383.4,240.012
44839.1,43446.9,170.988
