X,Y,Z
45059.9,43022.5,170.019
45058.9,43027.8,169.843
45077.5,43038.6,169.091
45130.5,43069.8,169.131
45134.8,43075,172.082
45209.5,43055.8,162.998
45208.2,43064.7,162.743
45235.4,42983.2,169.658
45222.3,43001.7,169.536
45203.8,43059.6,168.989
45234.2,42981.1,173.124
45235.3,42997.1,172.593
45234.4,43015.2,173.367
45262.4,43011.6,163.518
45259.6,43017.1,164.834
45331.9,43021.5,163.046
45239.2,43025.1,162.843
45327.5,43035.4,162.678
45262,42998.1,166.624
45261.3,43002.4,166.859
45261.8,43005.8,166.408
45327.1,43009.9,167.322
45261.6,43014.9,165.36
45324.1,43017.1,166.185
45236.6,42999.1,168.96
45237.4,43007.3,168.689
45241,42997.4,172.95
45249.3,43028.4,171.641
45244.6,43029.1,172.738
45237.7,43032.3,172.53
45422.5,43029.9,163.02
45032.7,43109.2,163.477
45032.4,43113,162.459
45030.7,43106,169.381
44987.5,43088.9,171.708
45028.3,43116.8,171.341
45129.3,43142.2,172.599
45136.7,43144.8,172.111
45155.5,43143.9,163.531
45223.1,43150.5,167.744
45221.2,43165.3,167.451
45220.9,43171.4,166.381
45226.6,43171,167.034
45220.8,43165.8,171.997
45296.1,43131.5,163.375
45318.9,43125.9,169.022
45296.3,43130.4,170.438
45318.3,43138.4,172.171
45417.2,43111.5,166.555
45449.2,43159.5,171.979
44722.5,43241.4,167.272
44751.4,43239.1,168.459
44686.3,43194,173.371
45227.2,43228.1,163.022
45223.8,43240.9,165.715
45219.7,43174.7,171.453
45225.8,43183,171.045
45192,43208.4,172.512
45223.1,43246.5,172.164
45237.2,43235.6,166.831
45252.4,43259.4,172.855
45113.1,43363.2,163.428
45130.3,43362.5,171.758
45230.8,43296.4,163.227
45145.3,43362.8,166.073
45150.1,43356.8,172.758
45296.1,43355.1,169.604
44678.8,43405.7,169.772
44659,43408.2,172.186
44905.8,43371.2,166.869
44970.5,43428.7,163.762
44978.8,43438.2,164.099
44982.9,43441.9,164.336
44989.2,43446.9,164.365
44993.2,43453.6,166.234
45011.5,43453.5,165.914
45013.3,43451.8,169.778
45034.9,43459.3,172.222
45182.8,43384.6,163.039
45198.8,43395.3,163.183
45161.2,43412.3,162.658
45226.7,43421.9,163.032
45231.9,43443,163.106
45233.4,43447.2,163.886
45172,43381.3,165.811
45176.7,43382.7,165.689
45202,43400.4,165.669
45180.9,43436.9,170.182
45216.6,43442.4,168.537
45308.4,43381.4,163.216
45323.7,43392.3,163.68
45275.1,43415.3,163.367
45295.6,43422.9,163.366
45299.8,43425.2,163.745
45303.9,43429.5,163.646
45314.1,43437.1,164.386
45295.6,43439.3,162.71
45247.3,43445.3,162.855
45307.1,43450.9,162.927
45316.3,43391.9,165.761
45271.3,43416.8,165.969
45297.9,43423,166.972
45317.2,43441.4,166.972
45299.7,43447.3,165.985
45245.3,43451.1,165.055
45242.5,43456.3,166.112
45327,43456.7,166.2
45289.2,43414.6,169.525
45293,43418,169.523
45274.6,43419.1,169.476
45295.7,43420.7,168.66
45276.5,43423.4,169.691
45276.2,43427.3,169.155
45307,43430.6,169.662
45312,43434.3,168.258
45291.5,43437.8,168.807
45297.2,43444.9,168.45
45267.9,43413.9,173.255
45273,43417.6,172.428
45306.3,43429.1,172.957
45286.8,43434.3,172.851
45311.4,43452.2,172.149
45312.3,43460.5,171.885
45239,43463.6,172.582
45349.3,43449.9,172.325
45347.8,43454.3,172.077
45442.5,43436.6,169.297
44744.7,43469.1,169.921
44737.2,43471,169.011
45017,43484.4,168.751
45024.2,43491.8,169.585
45034,43504.3,169.898
45041.3,43510.1,170.088
45006.8,43469.6,172.045
45059.5,43493.6,163.368
45074.8,43536.6,165.61
45072.5,43542.9,166.212
45078.9,43542.1,168.109
45151.9,43512.8,166.102
45144.9,43548.3,172.075
45216.6,43551.7,173.689
45317,43468.6,163.387
45322.2,43475.7,163.322
45258.2,43548.6,163.652
45248.9,43552.6,163.722
45318,43471.4,166.022
